fold;bloco;condicao_real;classe_real_nirrig;classe_predita_nirrig;probabilidade_nirrig
1;B4;IRRIG;0;0;0.07
1;B4;IRRIG;0;0;0.07
1;B4;IRRIG;0;0;0.06
1;B4;IRRIG;0;0;0.06
1;B4;IRRIG;0;0;0.07
1;B4;IRRIG;0;0;0.07
1;B4;IRRIG;0;0;0.06
1;B4;IRRIG;0;0;0.06
1;B4;NIRRIG;1;1;0.9
1;B4;NIRRIG;1;1;0.89
1;B4;NIRRIG;1;1;0.87
1;B4;NIRRIG;1;1;0.85
1;B4;NIRRIG;1;1;0.77
1;B4;NIRRIG;1;1;0.8
1;B4;NIRRIG;1;1;0.79
1;B4;NIRRIG;1;1;0.8
2;B3;IRRIG;0;0;0.12
2;B3;IRRIG;0;0;0.13
2;B3;IRRIG;0;0;0.13
2;B3;IRRIG;0;0;0.13
2;B3;IRRIG;0;0;0.01
2;B3;IRRIG;0;0;0.02
2;B3;IRRIG;0;0;0.02
2;B3;IRRIG;0;0;0.02
2;B3;NIRRIG;1;1;0.74
2;B3;NIRRIG;1;1;0.78
2;B3;NIRRIG;1;1;0.75
2;B3;NIRRIG;1;1;0.78
2;B3;NIRRIG;1;1;0.99
2;B3;NIRRIG;1;1;0.99
2;B3;NIRRIG;1;1;0.99
2;B3;NIRRIG;1;1;0.99
3;B2;IRRIG;0;1;0.82
3;B2;IRRIG;0;1;0.75
3;B2;IRRIG;0;1;0.73
3;B2;IRRIG;0;1;0.81
3;B2;IRRIG;0;0;0.0
3;B2;IRRIG;0;0;0.0
3;B2;IRRIG;0;0;0.0
3;B2;IRRIG;0;0;0.0
3;B2;NIRRIG;1;0;0.28
3;B2;NIRRIG;1;0;0.28
3;B2;NIRRIG;1;0;0.37
3;B2;NIRRIG;1;0;0.37
3;B2;NIRRIG;1;1;0.99
3;B2;NIRRIG;1;1;0.99
3;B2;NIRRIG;1;1;0.99
3;B2;NIRRIG;1;1;0.99
4;B1;IRRIG;0;0;0.01
4;B1;IRRIG;0;0;0.01
4;B1;IRRIG;0;0;0.0
4;B1;IRRIG;0;0;0.0
4;B1;IRRIG;0;0;0.07
4;B1;IRRIG;0;0;0.07
4;B1;IRRIG;0;0;0.09
4;B1;IRRIG;0;0;0.12
4;B1;NIRRIG;1;1;1.0
4;B1;NIRRIG;1;1;1.0
4;B1;NIRRIG;1;1;1.0
4;B1;NIRRIG;1;1;1.0
4;B1;NIRRIG;1;1;0.99
4;B1;NIRRIG;1;1;1.0
4;B1;NIRRIG;1;1;1.0
4;B1;NIRRIG;1;1;1.0
