fold;bloco;condicao_real;classe_real_nirrig;classe_predita_nirrig;probabilidade_nirrig
1;B4;IRRIG;0;0;0.36
1;B4;IRRIG;0;0;0.34
1;B4;IRRIG;0;0;0.36
1;B4;IRRIG;0;0;0.35
1;B4;IRRIG;0;1;0.62
1;B4;IRRIG;0;1;0.54
1;B4;IRRIG;0;1;0.59
1;B4;IRRIG;0;1;0.54
1;B4;NIRRIG;1;0;0.46
1;B4;NIRRIG;1;0;0.46
1;B4;NIRRIG;1;0;0.42
1;B4;NIRRIG;1;0;0.42
1;B4;NIRRIG;1;1;1.0
1;B4;NIRRIG;1;1;1.0
1;B4;NIRRIG;1;1;1.0
1;B4;NIRRIG;1;1;1.0
2;B3;IRRIG;0;0;0.01
2;B3;IRRIG;0;0;0.01
2;B3;IRRIG;0;0;0.01
2;B3;IRRIG;0;0;0.01
2;B3;IRRIG;0;0;0.13
2;B3;IRRIG;0;0;0.13
2;B3;IRRIG;0;0;0.17
2;B3;IRRIG;0;0;0.16
2;B3;NIRRIG;1;0;0.33
2;B3;NIRRIG;1;0;0.31
2;B3;NIRRIG;1;0;0.28
2;B3;NIRRIG;1;0;0.28
2;B3;NIRRIG;1;0;0.44
2;B3;NIRRIG;1;0;0.46
2;B3;NIRRIG;1;0;0.46
2;B3;NIRRIG;1;0;0.42
3;B2;IRRIG;0;0;0.01
3;B2;IRRIG;0;0;0.0
3;B2;IRRIG;0;0;0.0
3;B2;IRRIG;0;0;0.0
3;B2;IRRIG;0;1;0.53
3;B2;IRRIG;0;1;0.52
3;B2;IRRIG;0;0;0.46
3;B2;IRRIG;0;0;0.44
3;B2;NIRRIG;1;0;0.35
3;B2;NIRRIG;1;0;0.35
3;B2;NIRRIG;1;0;0.35
3;B2;NIRRIG;1;0;0.3
3;B2;NIRRIG;1;1;0.83
3;B2;NIRRIG;1;1;0.84
3;B2;NIRRIG;1;1;0.87
3;B2;NIRRIG;1;1;0.85
4;B1;IRRIG;0;1;0.64
4;B1;IRRIG;0;1;0.64
4;B1;IRRIG;0;1;0.64
4;B1;IRRIG;0;1;0.64
4;B1;IRRIG;0;0;0.08
4;B1;IRRIG;0;0;0.09
4;B1;IRRIG;0;0;0.07
4;B1;IRRIG;0;0;0.04
4;B1;NIRRIG;1;1;0.56
4;B1;NIRRIG;1;1;0.54
4;B1;NIRRIG;1;1;0.55
4;B1;NIRRIG;1;1;0.56
4;B1;NIRRIG;1;1;0.64
4;B1;NIRRIG;1;1;0.63
4;B1;NIRRIG;1;1;0.63
4;B1;NIRRIG;1;1;0.64
