dia;genotipo_a;condicao_a;genotipo_b;condicao_b;bandas_avaliadas_tukey;bandas_sig_tukey;prop_bandas_sig_tukey
D02;BR16;IRRIG;CD202;NIRRIG;1981;715;0.348610433934666
D02;BR16;IRRIG;EMB48;NIRRIG;1981;332;0.16187225743539738
D02;BR16;NIRRIG;CD202;IRRIG;1981;793;0.38664066309117506
D02;BR16;NIRRIG;EMB48;IRRIG;1981;261;0.1272549975621648
D02;CD202;IRRIG;EMB48;NIRRIG;1981;672;0.32764505119453924
D02;CD202;NIRRIG;EMB48;IRRIG;1981;300;0.1462701121404193
D03;BR16;IRRIG;CD202;NIRRIG;1943;1251;0.6099463676255485
D03;BR16;IRRIG;EMB48;NIRRIG;1943;1768;0.8620185275475378
D03;BR16;NIRRIG;CD202;IRRIG;1943;1913;0.9327157484154072
D03;BR16;NIRRIG;EMB48;IRRIG;1943;1390;0.6777181862506094
D03;CD202;IRRIG;EMB48;NIRRIG;1943;1885;0.9190638712823013
D03;CD202;NIRRIG;EMB48;IRRIG;1943;885;0.43149683081423695
D04;BR16;IRRIG;CD202;NIRRIG;2051;618;0.30131643100926375
D04;BR16;IRRIG;EMB48;NIRRIG;2051;545;0.26572403705509506
D04;BR16;NIRRIG;CD202;IRRIG;2051;1727;0.8420282788883472
D04;BR16;NIRRIG;EMB48;IRRIG;2051;803;0.3915163334958557
D04;CD202;IRRIG;EMB48;NIRRIG;2051;1202;0.5860555826426134
D04;CD202;NIRRIG;EMB48;IRRIG;2051;459;0.22379327157484155
D05;BR16;IRRIG;CD202;NIRRIG;2051;1947;0.9492930277913213
D05;BR16;IRRIG;EMB48;NIRRIG;2051;2016;0.9829351535836177
D05;BR16;NIRRIG;CD202;IRRIG;2051;1908;0.9302779132130667
D05;BR16;NIRRIG;EMB48;IRRIG;2051;996;0.4856167723061921
D05;CD202;IRRIG;EMB48;NIRRIG;2051;1945;0.9483178937103852
D05;CD202;NIRRIG;EMB48;IRRIG;2051;682;0.3325207215992199
D06;BR16;IRRIG;CD202;NIRRIG;2051;2011;0.9804973183812774
D06;BR16;IRRIG;EMB48;NIRRIG;2051;1924;0.9380789858605558
D06;BR16;NIRRIG;CD202;IRRIG;2051;1963;0.9570941004388104
D06;BR16;NIRRIG;EMB48;IRRIG;2051;1965;0.9580692345197465
D06;CD202;IRRIG;EMB48;NIRRIG;2051;1886;0.9195514383227694
D06;CD202;NIRRIG;EMB48;IRRIG;2051;1980;0.9653827401267674
D09;BR16;IRRIG;CD202;NIRRIG;2051;1995;0.9726962457337884
D09;BR16;IRRIG;EMB48;NIRRIG;2051;638;0.31106777181862505
D09;BR16;NIRRIG;CD202;IRRIG;2051;1820;0.8873720136518771
D09;BR16;NIRRIG;EMB48;IRRIG;2051;1588;0.7742564602632862
D09;CD202;IRRIG;EMB48;NIRRIG;2051;1680;0.8191126279863481
D09;CD202;NIRRIG;EMB48;IRRIG;2051;1950;0.9507557289127255
D10;BR16;IRRIG;CD202;NIRRIG;2051;346;0.16869819600195027
D10;BR16;IRRIG;EMB48;NIRRIG;2051;460;0.2242808386153096
D10;BR16;NIRRIG;CD202;IRRIG;2051;1091;0.5319356411506582
D10;BR16;NIRRIG;EMB48;IRRIG;2051;1274;0.621160409556314
D10;CD202;IRRIG;EMB48;NIRRIG;2051;1384;0.6747927840078011
D10;CD202;NIRRIG;EMB48;IRRIG;2051;452;0.22038030229156508
