fold;bloco;condicao_real;classe_real_nirrig;classe_predita_nirrig;probabilidade_nirrig
1;B4;IRRIG;0;0;0.03
1;B4;IRRIG;0;0;0.05
1;B4;IRRIG;0;0;0.09
1;B4;IRRIG;0;0;0.12
1;B4;IRRIG;0;0;0.04
1;B4;IRRIG;0;0;0.05
1;B4;IRRIG;0;0;0.03
1;B4;IRRIG;0;0;0.03
1;B4;NIRRIG;1;0;0.41
1;B4;NIRRIG;1;0;0.42
1;B4;NIRRIG;1;0;0.32
1;B4;NIRRIG;1;0;0.3
1;B4;NIRRIG;1;1;0.93
1;B4;NIRRIG;1;1;0.9
1;B4;NIRRIG;1;1;0.78
1;B4;NIRRIG;1;1;0.87
2;B3;IRRIG;0;1;0.65
2;B3;IRRIG;0;1;0.7
2;B3;IRRIG;0;1;0.67
2;B3;IRRIG;0;1;0.66
2;B3;IRRIG;0;0;0.49
2;B3;IRRIG;0;0;0.48
2;B3;IRRIG;0;1;0.53
2;B3;IRRIG;0;1;0.53
2;B3;NIRRIG;1;1;0.66
2;B3;NIRRIG;1;1;0.73
2;B3;NIRRIG;1;1;0.68
2;B3;NIRRIG;1;1;0.66
2;B3;NIRRIG;1;1;0.91
2;B3;NIRRIG;1;1;0.91
2;B3;NIRRIG;1;1;0.91
2;B3;NIRRIG;1;1;0.89
3;B2;IRRIG;0;1;0.92
3;B2;IRRIG;0;1;0.93
3;B2;IRRIG;0;1;0.93
3;B2;IRRIG;0;1;0.93
3;B2;IRRIG;0;0;0.2
3;B2;IRRIG;0;0;0.21
3;B2;IRRIG;0;0;0.21
3;B2;IRRIG;0;0;0.2
3;B2;NIRRIG;1;1;0.95
3;B2;NIRRIG;1;1;0.95
3;B2;NIRRIG;1;1;0.95
3;B2;NIRRIG;1;1;0.95
3;B2;NIRRIG;1;1;0.66
3;B2;NIRRIG;1;1;0.74
3;B2;NIRRIG;1;1;0.73
3;B2;NIRRIG;1;1;0.74
4;B1;IRRIG;0;0;0.46
4;B1;IRRIG;0;0;0.47
4;B1;IRRIG;0;0;0.45
4;B1;IRRIG;0;0;0.44
4;B1;IRRIG;0;0;0.01
4;B1;IRRIG;0;0;0.02
4;B1;IRRIG;0;0;0.01
4;B1;IRRIG;0;0;0.02
4;B1;NIRRIG;1;0;0.36
4;B1;NIRRIG;1;0;0.33
4;B1;NIRRIG;1;0;0.32
4;B1;NIRRIG;1;0;0.31
4;B1;NIRRIG;1;0;0.48
4;B1;NIRRIG;1;0;0.48
4;B1;NIRRIG;1;0;0.48
4;B1;NIRRIG;1;0;0.49
