fold;bloco;condicao_real;classe_real_nirrig;classe_predita_nirrig;probabilidade_nirrig
1;B4;IRRIG;0;1;0.64
1;B4;IRRIG;0;1;0.69
1;B4;IRRIG;0;1;0.69
1;B4;IRRIG;0;1;0.68
1;B4;IRRIG;0;0;0.47
1;B4;IRRIG;0;0;0.46
1;B4;IRRIG;0;0;0.38
1;B4;IRRIG;0;0;0.37
1;B4;NIRRIG;1;1;0.88
1;B4;NIRRIG;1;1;0.82
1;B4;NIRRIG;1;1;0.8
1;B4;NIRRIG;1;1;0.88
1;B4;NIRRIG;1;1;0.97
1;B4;NIRRIG;1;1;1.0
1;B4;NIRRIG;1;1;1.0
1;B4;NIRRIG;1;1;1.0
2;B3;IRRIG;0;1;0.63
2;B3;IRRIG;0;1;0.59
2;B3;IRRIG;0;1;0.65
2;B3;IRRIG;0;1;0.6
2;B3;IRRIG;0;0;0.48
2;B3;IRRIG;0;0;0.48
2;B3;IRRIG;0;0;0.39
2;B3;IRRIG;0;0;0.42
2;B3;NIRRIG;1;1;0.96
2;B3;NIRRIG;1;1;0.96
2;B3;NIRRIG;1;1;0.96
2;B3;NIRRIG;1;1;0.98
2;B3;NIRRIG;1;1;0.91
2;B3;NIRRIG;1;1;0.92
2;B3;NIRRIG;1;1;0.91
2;B3;NIRRIG;1;1;0.92
3;B2;IRRIG;0;0;0.23
3;B2;IRRIG;0;0;0.22
3;B2;IRRIG;0;0;0.22
3;B2;IRRIG;0;0;0.2
3;B2;IRRIG;0;0;0.1
3;B2;IRRIG;0;0;0.11
3;B2;IRRIG;0;0;0.11
3;B2;IRRIG;0;0;0.11
3;B2;NIRRIG;1;0;0.03
3;B2;NIRRIG;1;0;0.04
3;B2;NIRRIG;1;0;0.04
3;B2;NIRRIG;1;0;0.04
3;B2;NIRRIG;1;0;0.21
3;B2;NIRRIG;1;0;0.19
3;B2;NIRRIG;1;0;0.2
3;B2;NIRRIG;1;0;0.19
4;B1;IRRIG;0;0;0.28
4;B1;IRRIG;0;0;0.28
4;B1;IRRIG;0;0;0.29
4;B1;IRRIG;0;0;0.31
4;B1;IRRIG;0;0;0.32
4;B1;IRRIG;0;0;0.35
4;B1;IRRIG;0;0;0.36
4;B1;IRRIG;0;0;0.38
4;B1;NIRRIG;1;1;1.0
4;B1;NIRRIG;1;1;1.0
4;B1;NIRRIG;1;1;1.0
4;B1;NIRRIG;1;1;1.0
4;B1;NIRRIG;1;0;0.38
4;B1;NIRRIG;1;0;0.39
4;B1;NIRRIG;1;0;0.37
4;B1;NIRRIG;1;0;0.32
