genotipo;posicao;banda_nm;vip;vip_acima_de_1;iteracoes;acertos;prop_acertos;importancia_media;decisao_boruta;confirmada_boruta;q_condicao;q_tempo;significativa;criterios_atendidos;rank_vip;rank_boruta;score
BR16;1;1942;1.8395126549907246;True;100;100;1.0;0.03425293239945298;confirmada;True;1.1667266151190843e-11;1.510561498724011e-08;True;3;3.0;1.0;2.0
BR16;2;1360;1.7369036240750408;True;100;100;1.0;0.013099633816767701;confirmada;True;3.4306598839752663e-09;6.681171439873097e-06;True;3;6.0;14.0;10.0
BR16;3;1387;1.5797439643249012;True;100;100;1.0;0.00901293911987034;confirmada;True;7.379501860620855e-11;8.993430234092721e-07;True;3;9.0;27.0;18.0
BR16;4;1844;1.4737177611816006;True;100;100;1.0;0.007799744896716262;confirmada;True;1.1667266151190843e-11;1.0837902982790728e-05;True;3;13.0;29.0;21.0
BR16;5;425;1.1871833316763165;True;100;100;1.0;0.012963789452200582;confirmada;True;1.1667266151190843e-11;4.491283686022568e-06;True;3;36.0;16.0;26.0
CD202;1;1968;1.4431294049639152;True;100;100;1.0;0.04253500985367124;confirmada;True;4.986330855368519e-12;7.040750148592219e-09;True;3;8.0;1.0;4.5
CD202;2;1347;1.2984001776685952;True;100;100;1.0;0.018121361685003362;confirmada;True;5.257161795530841e-12;6.793332330410605e-08;True;3;15.0;20.0;17.5
CD202;3;1531;1.1337759736324426;True;100;100;1.0;0.022312238735374718;confirmada;True;4.986330855368519e-12;1.8915260990792303e-06;True;3;31.0;6.0;18.5
CD202;4;1367;1.753691384131511;True;100;100;1.0;0.00439399720400474;confirmada;True;4.532128245608989e-07;0.0002348430461369;True;3;1.0;39.0;20.0
CD202;5;1842;1.369946256566982;True;100;100;1.0;0.004915171094239596;confirmada;True;5.259172757416301e-09;1.2196768065604076e-05;True;3;11.0;38.0;24.5
EMB48;1;713;2.0116005830424712;True;100;100;1.0;0.03146073753935651;confirmada;True;6.066978398619239e-10;1.1232173550594643e-06;True;3;1.0;5.0;3.0
EMB48;2;1933;1.7313570315573652;True;100;100;1.0;0.036098506006692836;confirmada;True;6.402156011865929e-11;1.6903439759001257e-08;True;3;5.0;3.0;4.0
EMB48;3;404;1.4591873744344157;True;100;100;1.0;0.037228862140100925;confirmada;True;6.328882578377402e-11;2.712768916235086e-06;True;3;11.0;2.0;6.5
EMB48;4;1369;1.7400825626541658;True;100;100;1.0;0.01323805986255574;confirmada;True;1.5777350735352042e-08;0.0002159090411627;True;3;4.0;20.0;12.0
EMB48;5;1381;1.727125146695547;True;100;100;1.0;0.011253983661088242;confirmada;True;1.6911640375102816e-07;2.9073969781516724e-06;True;3;6.0;22.0;14.0
