genotipo;condicao;banda_nm;n;W;p_valor;q_fdr;normal_p;normal_q
BR16;IRRIG;400;28;0.9488703087232293;0.1855750225726469;0.5289791914637059;True;True
BR16;IRRIG;401;28;0.9488001431989942;0.18482086515070217;0.5289791914637059;True;True
BR16;IRRIG;402;28;0.9496269296373214;0.1938965372575216;0.5289791914637059;True;True
BR16;IRRIG;403;28;0.9507241999019906;0.20659774079757065;0.5289791914637059;True;True
BR16;IRRIG;404;28;0.9517922044161972;0.21971118406693835;0.5289791914637059;True;True
BR16;IRRIG;405;28;0.9530153333283995;0.23568315983040183;0.5289791914637059;True;True
BR16;IRRIG;406;28;0.9539197411809734;0.24817607865171298;0.5289791914637059;True;True
BR16;IRRIG;407;28;0.9575802814139296;0.3050863753453132;0.538210601227054;True;True
BR16;IRRIG;408;28;0.9602723722193381;0.35389143188217037;0.5604875110350049;True;True
BR16;IRRIG;409;28;0.9606424221163427;0.3610820394279989;0.5655054680413087;True;True
BR16;IRRIG;410;28;0.9605504297804186;0.35928348125322584;0.5655054680413087;True;True
BR16;IRRIG;411;28;0.9604297838135595;0.35693576129628685;0.5644373526743903;True;True
BR16;IRRIG;412;28;0.9612779906390412;0.3737077109001671;0.5737084693534751;True;True
BR16;IRRIG;413;28;0.9619565519969552;0.3875730156172814;0.5809153923090491;True;True
BR16;IRRIG;414;28;0.9616607074964676;0.381478917753955;0.5782803106528911;True;True
BR16;IRRIG;415;28;0.9609493166911398;0.3671349850728168;0.5687264761211082;True;True
BR16;IRRIG;416;28;0.9614931110012255;0.37806020991887457;0.5756506982506397;True;True
BR16;IRRIG;417;28;0.9633400787065062;0.4170755659059953;0.6027843573470129;True;True
BR16;IRRIG;418;28;0.9642508043348462;0.4373909185371032;0.6191088846926147;True;True
BR16;IRRIG;419;28;0.964481432019949;0.4426466729232218;0.6231079795233548;True;True
BR16;IRRIG;420;28;0.9648526521272801;0.45119960145010574;0.6284757003772664;True;True
BR16;IRRIG;421;28;0.9652992555186636;0.46164015554264515;0.6377760556832931;True;True
BR16;IRRIG;422;28;0.9654937533866039;0.46623794533419466;0.6416596878054319;True;True
BR16;IRRIG;423;28;0.9653659779373184;0.4632139693598413;0.639335027696524;True;True
BR16;IRRIG;424;28;0.965023740911924;0.4551799168309224;0.6319224533836565;True;True
BR16;IRRIG;425;28;0.9650820067156791;0.4565409467322997;0.6322521821390593;True;True
BR16;IRRIG;426;28;0.9664817299284133;0.49005889602336244;0.66475581729095;True;True
BR16;IRRIG;427;28;0.9678328604405866;0.5238388048539504;0.6967531703991259;True;True
